Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.9946,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
0,0.9943,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
0,0.994,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
0,0.9927,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
0,0.9924,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
1,0.9965,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.9956,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.9955,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.9954,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.9953,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
2,0.9963,"data, learning, training, model, models, new, language, performance, representations, supervised",
2,0.9944,"data, learning, training, model, models, new, language, performance, representations, supervised",
2,0.9935,"data, learning, training, model, models, new, language, performance, representations, supervised",
2,0.9931,"data, learning, training, model, models, new, language, performance, representations, supervised",
2,0.9885,"data, learning, training, model, models, new, language, performance, representations, supervised",
3,0.9955,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
3,0.9946,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
3,0.9932,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
3,0.9918,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
3,0.9911,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
4,0.9961,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.996,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.9957,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.9955,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.9955,"models, learning, deep, training, model, task, art, images, state, state_art",
5,0.9966,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
5,0.9955,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
5,0.995,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
5,0.9947,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
5,0.9945,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
6,0.9964,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.9953,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.9953,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.9953,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.9948,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
7,0.9958,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
7,0.9956,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
7,0.9952,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
7,0.9948,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
7,0.9947,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.9957,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9956,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9953,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9952,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9952,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
9,0.9956,"text, model, based, models, system, language, speech, end, word, knowledge",
9,0.9956,"text, model, based, models, system, language, speech, end, word, knowledge",
9,0.9952,"text, model, based, models, system, language, speech, end, word, knowledge",
9,0.9949,"text, model, based, models, system, language, speech, end, word, knowledge",
9,0.994,"text, model, based, models, system, language, speech, end, word, knowledge",
